EmpId,Date,Present,IsManual,InTime,OutTime,InDiff,OutDiff,IsLate,EarlyDeparture,MachineNo,IPAddress
E0069,1/2/2025,TRUE,FALSE,10:28:55,20:04:25,-1.08,4.42,FALSE,FALSE,M01,192.168.1.10
E0070,1/2/2025,TRUE,FALSE,10:13:36,20:09:45,-16.4,9.75,FALSE,FALSE,M03,192.168.1.20
E0071,1/2/2025,TRUE,FALSE,10:28:16,20:10:40,-1.73,10.67,FALSE,FALSE,M03,192.168.1.20
E0072,1/2/2025,TRUE,FALSE,10:29:13,19:41:34,-0.78,-18.43,FALSE,TRUE,M02,192.168.1.15
E0073,1/2/2025,TRUE,FALSE,10:48:37,20:21:08,18.62,21.13,TRUE,FALSE,M02,192.168.1.15
E0074,1/2/2025,TRUE,FALSE,10:44:00,20:15:04,14,15.07,TRUE,FALSE,M02,192.168.1.15
E0075,1/2/2025,TRUE,FALSE,10:18:41,19:55:36,-11.32,-4.4,FALSE,TRUE,M01,192.168.1.10
E0076,1/2/2025,TRUE,FALSE,10:32:26,19:36:31,2.43,-23.48,TRUE,TRUE,M01,192.168.1.10
E0077,1/2/2025,FALSE,,,,,,,,,
E0078,1/2/2025,TRUE,FALSE,10:36:57,20:19:08,6.95,19.13,TRUE,FALSE,M02,192.168.1.15
E0079,1/2/2025,TRUE,FALSE,,20:09:02,,9.03,,FALSE,M02,192.168.1.15
E0080,1/2/2025,TRUE,FALSE,10:43:01,20:20:09,13.02,20.15,TRUE,FALSE,M01,192.168.1.10
E0081,1/2/2025,TRUE,FALSE,10:26:24,19:59:50,-3.6,-0.17,FALSE,TRUE,M02,192.168.1.15
E0082,1/2/2025,TRUE,FALSE,10:27:32,20:03:57,-2.47,3.95,FALSE,FALSE,M03,192.168.1.20
E0083,1/2/2025,TRUE,FALSE,10:29:56,19:47:26,-0.07,-12.57,FALSE,TRUE,M03,192.168.1.20
E0084,1/2/2025,TRUE,FALSE,10:21:24,19:40:06,-8.6,-19.9,FALSE,TRUE,M02,192.168.1.15
E0085,1/2/2025,TRUE,FALSE,10:24:27,19:38:30,-5.55,-21.5,FALSE,TRUE,M02,192.168.1.15
E0086,1/2/2025,TRUE,FALSE,10:33:41,20:03:22,3.68,3.37,TRUE,FALSE,M03,192.168.1.20
E0087,1/2/2025,TRUE,FALSE,10:31:51,20:04:20,1.85,4.33,TRUE,FALSE,M01,192.168.1.10
E0088,1/2/2025,TRUE,FALSE,10:21:31,20:04:51,-8.48,4.85,FALSE,FALSE,M02,192.168.1.15
E0089,1/2/2025,TRUE,FALSE,10:18:19,,-11.68,,FALSE,,M01,192.168.1.10
E0090,1/2/2025,TRUE,FALSE,10:39:55,20:12:16,9.92,12.27,TRUE,FALSE,M01,192.168.1.10
E0091,1/2/2025,TRUE,FALSE,10:19:46,20:00:56,-10.23,0.93,FALSE,FALSE,M01,192.168.1.10
E0092,1/2/2025,TRUE,FALSE,10:42:45,20:03:49,12.75,3.82,TRUE,FALSE,M03,192.168.1.20
E0093,1/2/2025,TRUE,FALSE,10:31:42,19:35:10,1.7,-24.83,TRUE,TRUE,M01,192.168.1.10
E0094,1/2/2025,TRUE,FALSE,10:29:59,20:13:36,-0.02,13.6,FALSE,FALSE,M01,192.168.1.10
E0095,1/2/2025,TRUE,FALSE,10:35:46,20:14:17,5.77,14.28,TRUE,FALSE,M03,192.168.1.20
E0096,1/2/2025,TRUE,FALSE,10:27:27,19:55:11,-2.55,-4.82,FALSE,TRUE,M03,192.168.1.20
E0097,1/2/2025,TRUE,FALSE,10:38:08,20:11:27,8.13,11.45,TRUE,FALSE,M03,192.168.1.20
E0098,1/2/2025,TRUE,FALSE,10:39:47,20:13:40,9.78,13.67,TRUE,FALSE,M01,192.168.1.10
E0099,1/2/2025,TRUE,FALSE,10:22:11,19:36:11,-7.82,-23.82,FALSE,TRUE,M03,192.168.1.20
E0100,1/2/2025,TRUE,FALSE,10:32:21,19:56:21,2.35,-3.65,TRUE,TRUE,M02,192.168.1.15
E0001,1/3/2025,TRUE,FALSE,10:30:12,19:30:14,0.2,-29.77,TRUE,TRUE,M01,192.168.1.10
E0002,1/3/2025,TRUE,FALSE,10:28:32,19:51:30,-1.47,-8.5,FALSE,TRUE,M02,192.168.1.15
E0003,1/3/2025,TRUE,FALSE,10:19:47,20:02:25,-10.22,2.42,FALSE,FALSE,M02,192.168.1.15
E0004,1/3/2025,FALSE,,,,,,,,,
E0005,1/3/2025,TRUE,FALSE,10:23:26,20:03:50,-6.57,3.83,FALSE,FALSE,M03,192.168.1.20
E0006,1/3/2025,TRUE,FALSE,,19:45:14,,-14.77,,TRUE,M01,192.168.1.10
E0007,1/3/2025,TRUE,FALSE,10:46:43,20:13:03,16.72,13.05,TRUE,FALSE,M01,192.168.1.10
E0008,1/3/2025,TRUE,FALSE,10:13:46,20:06:10,-16.23,6.17,FALSE,FALSE,M01,192.168.1.10
E0009,1/3/2025,TRUE,FALSE,10:16:10,19:53:50,-13.83,-6.17,FALSE,TRUE,M02,192.168.1.15
E0010,1/3/2025,TRUE,FALSE,10:35:14,19:33:46,5.23,-26.23,TRUE,TRUE,M03,192.168.1.20
E0011,1/3/2025,TRUE,FALSE,10:27:00,19:49:05,-3,-10.92,FALSE,TRUE,M02,192.168.1.15
E0012,1/3/2025,FALSE,,,,,,,,,
E0013,1/3/2025,TRUE,FALSE,10:32:24,19:40:28,2.4,-19.53,TRUE,TRUE,M01,192.168.1.10
E0014,1/3/2025,TRUE,FALSE,10:33:05,20:03:20,3.08,3.33,TRUE,FALSE,M02,192.168.1.15
E0015,1/3/2025,TRUE,FALSE,10:26:59,19:48:30,-3.02,-11.5,FALSE,TRUE,M02,192.168.1.15
E0016,1/3/2025,TRUE,FALSE,10:40:41,20:10:48,10.68,10.8,TRUE,FALSE,M02,192.168.1.15
E0017,1/3/2025,TRUE,FALSE,10:41:55,20:10:48,11.92,10.8,TRUE,FALSE,M01,192.168.1.10
E0018,1/3/2025,TRUE,FALSE,10:25:15,19:40:06,-4.75,-19.9,FALSE,TRUE,M03,192.168.1.20
E0019,1/3/2025,TRUE,FALSE,10:28:21,19:48:56,-1.65,-11.07,FALSE,TRUE,M02,192.168.1.15
E0020,1/3/2025,TRUE,FALSE,10:34:04,20:03:08,4.07,3.13,TRUE,FALSE,M03,192.168.1.20
E0021,1/3/2025,TRUE,FALSE,10:36:46,20:13:22,6.77,13.37,TRUE,FALSE,M01,192.168.1.10
E0022,1/3/2025,TRUE,FALSE,10:33:22,20:13:14,3.37,13.23,TRUE,FALSE,M03,192.168.1.20
E0023,1/3/2025,TRUE,FALSE,10:25:40,20:08:56,-4.33,8.93,FALSE,FALSE,M01,192.168.1.10
E0024,1/3/2025,TRUE,TRUE,10:30:00,20:00:00,0,0,FALSE,FALSE,M03,192.168.1.20
E0025,1/3/2025,TRUE,FALSE,10:16:53,20:04:43,-13.12,4.72,FALSE,FALSE,M02,192.168.1.15
E0026,1/3/2025,TRUE,TRUE,10:30:00,20:00:00,0,0,FALSE,FALSE,M02,192.168.1.15
E0027,1/3/2025,TRUE,FALSE,10:20:45,19:58:36,-9.25,-1.4,FALSE,TRUE,M03,192.168.1.20
E0028,1/3/2025,TRUE,FALSE,10:40:55,19:56:17,10.92,-3.72,TRUE,TRUE,M03,192.168.1.20
